Title,Author,Series
Gothikana,RuNyx,
Born, Darkly,Trisha Wolfe,Born Darkly Duet
Deliver,Pam Godwin,Deliver
Vanquish,Pam Godwin,Deliver
Sea of Ruin,Pam Godwin,
King of Libertines,Pam Godwin,
Indebted,Pepper Winters,Indebted
First Debt,Pepper Winters,Indebted
Ruin,Pepper Winters,Ruin
Tears of Tess,Pepper Winters,Monsters in the Dark
These Monstrous Ties,K.V. Rose,Monstrous
Descent,Sam Mariano,
Untouchable,Sam Mariano,
Brutal Obsession,J. Massery,
Notocadia,Keri Lake,
The King,Eris Belmont,
Lords of Pain,Angel Lawson,Lords of Pain
Lords of Wrath,Angel Lawson,Lords of Pain
Lords of Mercy,Angel Lawson,Lords of Pain
King of Flesh and Bone,Britainy C. Cherry & Liv Zander,
Captured,Laren Biel,
Constraint,Siri Ousdahl,
Ritual Sins,Anne Stuart,
Caged,Shanna Ehrlich,
Shattered Hearts,Shae Ruby,The Broken
Battered Souls,Shae Ruby,The Broken
Tattered Bodies,Shae Ruby,The Broken
Monster Inside,Bella Jewel,Monsters Within
Vicious Prince,J. Rose,Stolen Royals
Winter Plague,Quinn Blackbird,
Harrow Faire,Kathryn Ann Kingsley,Harrow Faire
The Impossible Julian Strande,Kathryn Ann Kingsley,
Wrath of the Fae,Alessa Thorn,Wrath of the Fae
Four Horsemen,Laura Thalassa,Four Horsemen
Pestilence,Laura Thalassa,Four Horsemen
War,Laura Thalassa,Four Horsemen
Famine,Laura Thalassa,Four Horsemen
Death,Laura Thalassa,Four Horsemen
Monsters in the Dark,Pepper Winters,Monsters in the Dark
King of Libertines (prequel),Pam Godwin,
Dark Notes,Pam Godwin,
Consequences,Aleatha Romig,Consequences
Truth,Aleatha Romig,Consequences
Convicted,Aleatha Romig,Consequences
The Light We Cannot See,Aleatha Romig,The Light
Bait,Jade West,
Balance,Lucia Franco,Off Balance
Breaking Him,R.K. Lilley,Loving on the Edge
Dark Notes,Pam Godwin,
Jasmine,Jennifer Bene & Shane Starrett,
Deliver Me From Darkness,Tesla Storm,
Beautiful Venom,Rina Kent,Legacy of Gods
God of Malice,Rina Kent,Legacy of Gods
God of Pain,Rina Kent,Legacy of Gods
Psychotic Obsession,Leigh Rivers,
Secrets of Mine,Mia Knight,Edge of Darkness
Monster,Monster Trilogy,
Vibe,Lily Main,
My Dark Fairy Tale,Lily Mayne,
Throne of the Fallen,Katee Robert,
The Sinner,Shantel Tessier,
The Sacrifice,Shantel Tessier,
Sweet Venom,Navessa Allen,Vipers
Caught Up,Navessa Allen,
Edge of Darkness,Claire Contreras,Edge of Darkness
Deceit,Amelia Wilde,Deception
Throne of Ruin,Amelia Wilde,Throne
God of Wrath,Rina Kent,Legacy of Gods
God of Ruin,Rina Kent,Legacy of Gods
Scarred,Emily McIntire,Never After
Hooked,Emily McIntire,Never After
Wretched,Emily McIntire,Never After
Twisted Love Story,Harper West,
Price of Refusal,J.L. Beck,
Silent Tears,Aly Martinez,
Monsters Like Me,Peyton Sloane,
Deliver Us From Evil,L.K. Farlow,
