Title,Author,Series
Pride and Prejudice,Jane Austen,
Outlander,Diana Gabaldon,Outlander
Jane Eyre,Charlotte Brontë,
Gone with the Wind,Margaret Mitchell,
Sense and Sensibility,Jane Austen,
The Notebook,Nicholas Sparks,
Persuasion,Jane Austen,
Dragonfly in Amber,Diana Gabaldon,Outlander
Voyager,Diana Gabaldon,Outlander
"Whitney, My Love",Judith McNaught,Westmoreland
A Kingdom of Dreams,Judith McNaught,Westmoreland
Almost Heaven,Judith McNaught,Sequels
The Princess Bride,William Goldman,
Devil in Winter,Lisa Kleypas,Wallflowers
Lord of Scoundrels,Loretta Chase,Scoundrels
The Bride,Julie Garwood,Lairds' Fiancées
Paradise,Judith McNaught,Paradise
The Duke and I,Julia Quinn,Bridgerton
Nobody's Baby But Mine,Susan Elizabeth Phillips,Chicago Stars
Flowers from the Storm,Laura Kinsale,
The Madness of Lord Ian Mackenzie,Jennifer Ashley,Mackenzies & McBrides
Lover Awakened,J.R. Ward,Black Dagger Brotherhood
Honor's Splendour,Julie Garwood,
Once and Always,Judith McNaught,Sequels
A Knight in Shining Armor,Jude Deveraux,Montgomery/Taggert Family
Bride,Ali Hazelwood,
Funny Story,Emily Henry,
Just for the Summer,Abby Jimenez,
Butcher & Blackbird,Brynne Weaver,
Wild Love,Elsie Silver,Rose Hill
Happy Place,Emily Henry,
The Pairing,Casey McQuiston,
This Summer Will Be Different,Carley Fortune,
The Fake Out,Stephanie Archer,
One Last Stop,Casey McQuiston,
Heartless Hunter,Kristen Ciccarelli,
It Ends with Us,Colleen Hoover,
It Starts with Us,Colleen Hoover,
Verity,Colleen Hoover,
Ugly Love,Colleen Hoover,
November 9,Colleen Hoover,
Reminders of Him,Colleen Hoover,
All Your Perfects,Colleen Hoover,
Confess,Colleen Hoover,
Slammed,Colleen Hoover,
Point of Retreat,Colleen Hoover,
Things We Never Got Over,Lucy Score,Knockemout
Things We Hide from the Light,Lucy Score,Knockemout
Things We Left Behind,Lucy Score,Knockemout
Rock Bottom Girl,Lucy Score,
The Worst Best Man,Lucy Score,
Pretend You're Mine,Lucy Score,
Forever Never,Lucy Score,
It Happened One Summer,Tessa Bailey,
"Hook, Line, and Sinker",Tessa Bailey,
Love Her or Lose Her,Tessa Bailey,
Fix Her Up,Tessa Bailey,
Tools of Engagement,Tessa Bailey,
Unfortunately Yours,Tessa Bailey,
The Love Hypothesis,Ali Hazelwood,
Love on the Brain,Ali Hazelwood,
"Love, Theoretically",Ali Hazelwood,
The Roommate,Rosie Danan,
The Intimacy Experiment,Rosie Danan,
Beach Read,Emily Henry,
People We Meet on Vacation,Emily Henry,
Book Lovers,Emily Henry,
Every Summer After,Carley Fortune,
Meet Me at the Lake,Carley Fortune,
The Soulmate Equation,Christina Lauren,
The Unhoneymooners,Christina Lauren,
The Kiss Quotient,Helen Hoang,
The Bride Test,Helen Hoang,
The Heart Principle,Helen Hoang,
"Red, White & Royal Blue",Casey McQuiston,
The Spanish Love Deception,Elena Armas,
The American Roommate Experiment,Elena Armas,
The Hating Game,Sally Thorne,
99 Percent Mine,Sally Thorne,
Part of Your World,Abby Jimenez,
Life's Too Short,Abby Jimenez,
Yours Truly,Abby Jimenez,
The Friend Zone,Abby Jimenez,
"Get a Life, Chloe Brown",Talia Hibbert,The Brown Sisters
"Take a Hint, Dani Brown",Talia Hibbert,The Brown Sisters
"Act Your Age, Eve Brown",Talia Hibbert,The Brown Sisters
The Flatshare,Beth O'Leary,
The Switch,Beth O'Leary,
The Road Trip,Beth O'Leary,
The Ex Talk,Rachel Lynn Solomon,
Business or Pleasure,Rachel Lynn Solomon,
The Viscount Who Loved Me,Julia Quinn,Bridgerton
An Offer From a Gentleman,Julia Quinn,Bridgerton
Romancing Mister Bridgerton,Julia Quinn,Bridgerton
"To Sir Phillip, With Love",Julia Quinn,Bridgerton
When He Was Wicked,Julia Quinn,Bridgerton
It's in His Kiss,Julia Quinn,Bridgerton
On the Way to the Wedding,Julia Quinn,Bridgerton
Scandal in Spring,Lisa Kleypas,Wallflowers
Secrets of a Summer Night,Lisa Kleypas,Wallflowers
It Happened One Autumn,Lisa Kleypas,Wallflowers
Chasing Cassandra,Lisa Kleypas,
Devil in Disguise,Lisa Kleypas,
Marrying Winterborne,Lisa Kleypas,
Cold-Hearted Rake,Lisa Kleypas,
Dreaming of You,Lisa Kleypas,
Then Came You,Lisa Kleypas,
Mine Till Midnight,Lisa Kleypas,
Seduce Me at Sunrise,Lisa Kleypas,
Tempt Me at Twilight,Lisa Kleypas,
Married by Morning,Lisa Kleypas,
Love in the Afternoon,Lisa Kleypas,
To Love and to Loathe,Martha Waters,
To Have and to Hoax,Martha Waters,
To Marry and to Meddle,Martha Waters,
Never Fall for Your Fiancée,Virginia Heath,
Half a Soul,Olivia Atwater,
Ten Thousand Stitches,Olivia Atwater,
The League of Gentlewomen Witches,India Holton,
The Wisteria Society of Lady Scoundrels,India Holton,
A Lady for a Duke,Alexis Hall,
Boyfriend Material,Alexis Hall,
Husband Material,Alexis Hall,
Something Fabulous,Alexis Hall,
Maid to Match,Deeanne Gist,
Beguiled,Arnette Lamb,
A Rose at Midnight,Anne Stuart,
A Court of Thorns and Roses,Sarah J. Maas,ACOTAR
A Court of Mist and Fury,Sarah J. Maas,ACOTAR
A Court of Wings and Ruin,Sarah J. Maas,ACOTAR
A Court of Frost and Starlight,Sarah J. Maas,ACOTAR
A Court of Silver Flames,Sarah J. Maas,ACOTAR
Fourth Wing,Rebecca Yarros,Empyrean
Iron Flame,Rebecca Yarros,Empyrean
Onyx Storm,Rebecca Yarros,Empyrean
From Blood and Ash,Jennifer L. Armentrout,Blood and Ash
A Kingdom of Flesh and Fire,Jennifer L. Armentrout,Blood and Ash
The Crown of Gilded Bones,Jennifer L. Armentrout,Blood and Ash
The War of Two Queens,Jennifer L. Armentrout,Blood and Ash
A Shadow in the Ember,Jennifer L. Armentrout,Flesh and Fire
A Light in the Flame,Jennifer L. Armentrout,Flesh and Fire
Throne of Glass,Sarah J. Maas,Throne of Glass
Crown of Midnight,Sarah J. Maas,Throne of Glass
Heir of Fire,Sarah J. Maas,Throne of Glass
Queen of Shadows,Sarah J. Maas,Throne of Glass
Empire of Storms,Sarah J. Maas,Throne of Glass
Tower of Dawn,Sarah J. Maas,Throne of Glass
Kingdom of Ash,Sarah J. Maas,Throne of Glass
Crescent City,Sarah J. Maas,Crescent City
House of Sky and Breath,Sarah J. Maas,Crescent City
House of Flame and Shadow,Sarah J. Maas,Crescent City
Dark Lover,J.R. Ward,Black Dagger Brotherhood
Lover Eternal,J.R. Ward,Black Dagger Brotherhood
Lover Mine,J.R. Ward,Black Dagger Brotherhood
Lover Reborn,J.R. Ward,Black Dagger Brotherhood
The Lover's Dictionary,J.R. Ward,Black Dagger Brotherhood
Neon Gods,Katee Robert,
Electric Idol,Katee Robert,
Wicked Beauty,Katee Robert,
Radiant Sin,Katee Robert,
Cruel Seduction,Katee Robert,
King of Battle and Blood,Scarlett St. Clair,
A Touch of Darkness,Scarlett St. Clair,
A Touch of Ruin,Scarlett St. Clair,
A Touch of Malice,Scarlett St. Clair,
A Game of Fate,Scarlett St. Clair,
A Game of Retribution,Scarlett St. Clair,
Twisted Love,Ana Huang,Twisted
Twisted Games,Ana Huang,Twisted
Twisted Hate,Ana Huang,Twisted
Twisted Lies,Ana Huang,Twisted
King of Wrath,Ana Huang,Kings of Sin
King of Pride,Ana Huang,Kings of Sin
King of Greed,Ana Huang,Kings of Sin
King of Sloth,Ana Huang,Kings of Sin
Bared to You,Sylvia Day,Crossfire
Reflected in You,Sylvia Day,Crossfire
Entwined with You,Sylvia Day,Crossfire
Captivated by You,Sylvia Day,Crossfire
One with You,Sylvia Day,Crossfire
Credence,Penelope Douglas,
