Title,Author,Series,Genre,Subgenre,readability,grammar,polish,prose,pacing,overall_score,confidence,review_count,flags,key_phrases,scoring_status
Haunting Adeline,H.D. Carlton,Cat and Mouse,Romance,Dark Romance,,,,,,,0,0,api_error_rate_limit,,error
Hunting Adeline,H.D. Carlton,Cat and Mouse,Romance,Dark Romance,60,65,60,62,65,62.0,40,0,No reviews found | Low confidence scoring | low_confidence: fewer than 5 review excerpts,,ok
Butcher & Blackbird,Brynne Weaver,Ruinous Love,Romance,Dark Romance,65,60,55,58,62,61.0,40,0,No reviews available | low_confidence: fewer than 5 review excerpts,,ok
Leather & Lark,Brynne Weaver,Ruinous Love,Romance,Dark Romance,,,,,,,0,0,api_error_rate_limit,,error
Den of Vipers,K.A. Knight,,Romance,Dark Romance,,,,,,,0,0,api_error_rate_limit,,error
Twisted Love,Ana Huang,Twisted,Romance,Dark Romance,,,,,,,0,0,api_error_rate_limit,,error
Twisted Games,Ana Huang,Twisted,Romance,Dark Romance,60,65,60,55,65,61.0,40,0,Low Confidence | No Reviews | low_confidence: fewer than 5 review excerpts,,ok
Twisted Hate,Ana Huang,Twisted,Romance,Dark Romance,,,,,,,0,0,api_error_rate_limit,,error
Twisted Lies,Ana Huang,Twisted,Romance,Dark Romance,65,70,65,60,70,66.0,40,0,No reviews available | low_confidence: fewer than 5 review excerpts,,ok
Credence,Penelope Douglas,,Romance,Dark Romance,,,,,,,0,0,api_error_rate_limit,,error
